,rating,review,displayName,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,score,timeFromCreation,user.displayName,user.realm,user.userId,user.accountLink,displayImageUrl
0,5.0,Even better than the first!! Tom Cruise is incredibly likable in this film. I enjoyed the nostalgia that was classily referenced throughout the movie.,Megan,True,False,False,False,5.0,1h ago,Megan,Fandango,f87be09d-0895-4259-9238-267c77d72263,,
1,5.0,"Tom Cruise was awesome, great movie with spectacular special effects. Actually great job by all the actors, my 2nd time seeing this movie, that's how awesome it is.",Rosemary Coffer,True,False,False,False,5.0,1h ago,Rosemary Coffer,Fandango,7C6246D8-AEA3-4C2B-9889-C548E021CA95,,
2,5.0,Didn't care for the moving seats,Dorothy M,True,False,False,False,5.0,1h ago,Dorothy M,Fandango,BD64860E-F69E-460A-8D90-8F07A8DA5B3E,,
3,5.0,Great story good acting. Filled with excitement & suspense,Top Gun,True,False,False,False,5.0,1h ago,Top Gun,Fandango,f5f9488d-4ebb-419a-b029-2351be6941f7,,
4,5.0,Best movie weve seen in quite awhile! Lots of high speed action (literally!). Tom Cruise does not disappoint! Highly recommend! You need to see this on the big screen.,Roxanna,True,False,False,False,5.0,1h ago,Roxanna,Fandango,7c8f4c0f-3ecc-4b30-9ecb-5ab7c51da6a4,,
5,5.0,Loved it! Loved the sentimentality connected to the original. The story was great and the action was phenomenal.,Sunshine,True,False,False,False,5.0,1h ago,Sunshine,Fandango,9fa259b0-3e19-403d-aa36-20e4f32a2569,,
6,5.0,Loved everything about this movie! This was the 2nd time we have seen it and both times at Regal Palladiums IMAX theater. Would highly recommend this movie!,KLRP,True,False,False,False,5.0,1h ago,KLRP,Fandango,dcbae2f2-020f-48aa-95f7-b6ee3367cbb6,,
7,5.0,"Over the top, AWESOME!! And Tom Cruise has aged very well.",Anne,True,False,False,False,5.0,1h ago,Anne,Fandango,d122c985-44e8-4562-9882-bca9ac2ab991,,
8,5.0,Great action and storyline,Ann cervone,False,False,False,False,5.0,1h ago,Ann cervone,Fandango,64b3f1c5-491b-49bf-9963-7ad69ef63978,,
9,5.0,Love watching this on the giant screen with the incredible sound!  Feels like youre in the cockpit!  You can actually feel the sound in the chair and your body.  Great job respecting the first Top Gun while creating a compelling new story.,Amy,True,False,False,False,5.0,1h ago,Amy,Fandango,df3ce9b9-43be-433c-8fa2-0b9882953d7d,,
10,5.0,Really great movie. Had me on the edge of my seat,Rocely,True,False,False,False,5.0,1h ago,Rocely,Fandango,03DAFB70-86FE-4583-B5A3-E98A89C494AF,,
11,4.5,"I enjoyed this movie a lot. It has a straight and simple and yet captivating story and a lot of very good top tier action, and wich was done by using mostly practical effects and filmmaking and was not a CGI overkill, unlike so many blockbuster action movies nowadays.

The movie also stands out as an example for a very good sequel, which might even be superior to the first movie.

If you can see past the blatant and yet relatively sparingly inserted ""US world police"" prop***anda (which was in the first ""Top Gun"" as well), this movie can be a very fun ride for you, especially if you are into a somewhat cons*rv*tive action movie experience. Thank you, Tom Cruise, for giving us such a movie in the 2020ies!

A very good sequel, maybe even better than the first ""Top Gun"".",Anton Veli T,False,False,False,False,4.5,1h ago,Anton Veli T,RT,Google_101095030851785368981,/user/id/Google_101095030851785368981,
12,5.0,"OMG!!! So good!!! Better than the first one, and the first one was great! It has action, adventure, romance, heart - they really did an awesome job with this movie. The audience was really involved in the movie. People were laughing and crying and really rooting for the characters. I was ready to go see it again, right after I'd just watched it. Go see it!!!",Loraine Tanibata,True,False,False,False,5.0,1h ago,Loraine Tanibata,Fandango,9fb6d4f8-2831-487e-8093-12f029622d03,,
13,5.0,"Amazing, best movie ever!",C,False,False,False,False,5.0,1h ago,C,Fandango,0b53d386-d85e-45d3-b123-22357965132a,,
14,5.0,Not sure how Cruise can get better and better but he does! Fantastic movie,J M,True,False,False,False,5.0,1h ago,J M,Fandango,c415680d-66eb-45ba-b5ea-b16c0d20b636,,
15,5.0,"Phenomenal flight sequences, deep relationships, great acting, lives up to the original and really connects the two stories.",William K,True,False,False,False,5.0,1h ago,William K,Fandango,4BF67B86-C663-4DD7-A2EA-9CB848124FA9,,
16,5.0,Even better than 1st one,Teddi,True,False,False,False,5.0,1h ago,Teddi,Fandango,f0320199-e510-4628-9d87-6f3e5ec8e2ce,,
17,4.5,"The original is one of the top 5 movies of my childhood that raised me. 
This new one was…Much better than I thought it was going to be. I'm not ashamed to say as 6'2"" 250lb man…I cried three separate times. Once during the opening, another during a scene with Ice, and another towards the end. This movie doesn't replace the original, and it doesn't detract from it. I'd have to say it honors it. 
Thanks Mav",Gotta Try ,False,False,False,False,4.5,1h ago,Gotta Try ,RT,Google_105096171406238705606,/user/id/Google_105096171406238705606,
18,5.0,Great movie would highly recommend,Darrell S,False,False,False,False,5.0,1h ago,Darrell S,Fandango,219BACBF-6A76-42B8-B03C-A4185420906A,,
19,5.0,A classic movie to watch again and again,Carmen,False,False,False,False,5.0,1h ago,Carmen,Fandango,a0c2fabe-5990-4a1f-b9e8-c660c2ee500d,,
20,5.0,Loved the movie but needed more love scenes. Looking forward to the next movie,Lili,True,False,False,False,5.0,1h ago,Lili,Fandango,b7f88691-636a-4182-8b80-3b7eea5ac49c,,
21,5.0,We liked the action.  The story involved all the chatacters in a interesting way.  Very believable.,Mark F,True,False,False,False,5.0,1h ago,Mark F,Fandango,5d3d4c7a-d4d3-4489-abff-5786676e8a61,,
22,4.0,Predictable but energetic and exhilarating. Seeing it on the big screen is a must.,Deb,True,False,False,False,4.0,1h ago,Deb,Fandango,49d21a7d-209b-4feb-8261-8e8c24b4fb90,,
23,1.0,Absolute rehash of the original.,Bryan G,False,False,False,False,1.0,1h ago,Bryan G,RT,Google_112903291068962730898,/user/id/Google_112903291068962730898,
24,5.0,"Great story, great actors, Clean movie for the family. Whatnot to like.",Julie J. O'Dell,True,False,False,False,5.0,1h ago,Julie J. O'Dell,Fandango,3b22eeb7-20e3-4666-aaef-334ae487ea69,,
25,4.5,Live the mix of original movie and the new.,Joy M,True,False,False,False,4.5,2h ago,Joy M,Fandango,2254D1D4-1F97-4B0E-B87E-7D391D934C92,,
26,5.0,pure entertainment. and there are fighter jets.,Jeanene,True,False,False,False,5.0,2h ago,Jeanene,Fandango,2CDD030A-3CD6-42CC-B84F-916EC2659A97,,
27,5.0,Liked the entire movie.,Susie,False,False,False,False,5.0,2h ago,Susie,Fandango,1327b9f9-9694-4745-a0da-aa857488dfc1,,
28,5.0,"Great storyline, action.. just great.",Larry,True,False,False,False,5.0,2h ago,Larry,Fandango,ed896f8e-f1e6-4930-87e5-0c1b487ec1b2,,
29,5.0,The movie is the best action movie in a long time. Tom Cruise and the rest of the cast deliver impressively both the light and dramatic scenes flawlessly. It is refreshing to see a well scripted and acted movie that does not involve super heroes.,BJ G.,True,False,False,False,5.0,2h ago,BJ G.,Fandango,D6FD3330-0A51-4173-8DEE-10335039D45A,,
30,5.0,Fast paced action kept my attention. Couldn't believe movie was over two hours long. Did not feel like. Very entertaining.,Michael,True,False,False,False,5.0,2h ago,Michael,Fandango,B876D480-C44F-4BC5-821C-1BD6AA9F3501,,
